|  GET  |  /admin/enterprises/(enterprise)/appslib/templateDefinitions/(templateDefinition)  |    |   templatedefinition (*b)  (*r)   |
|  PUT  |  /admin/enterprises/(enterprise)/appslib/templateDefinitions/(templateDefinition)  |   templatedefinition (*r)   |   templatedefinition (*b)  (*r)   |
|  DELETE  |  /admin/enterprises/(enterprise)/appslib/templateDefinitions/(templateDefinition)  |    |    |
|  GET  |  /admin/enterprises/(enterprise)/appslib/templateDefinitions/(templateDefinition)/actions/repositoryStatus  |    |   templatestate (*b)  (*r)   |
|  POST  |  /admin/enterprises/(enterprise)/appslib/templateDefinitions/(templateDefinition)/actions/repositoryInstall  |    |    |
|  POST  |  /admin/enterprises/(enterprise)/appslib/templateDefinitions/(templateDefinition)/actions/repositoryUninstall  |    |    |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/datastores  |    |   datastores (*b)  (*r)   |
|  GET  |  /admin/datacenters/(datacenter)/racks/(rack)/machines/(machine)/datastores//action/refresh  |    |    |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/privatenetworks/(privatenetwork)/ips  |    |   privateips (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(virtualdatacenter)/privatenetworks/(privatenetwork)/ips  |   privateip (*b)  (*r)   |   privateip (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(virtualdatacenter)/privatenetworks/(privatenetwork)/ips/(ip)  |    |   privateip (*b)  (*r)   |
