Name	ServerURL	CloudURL	ServerID	CloudID
Search for resources and filter the search	https://abiquo.atlassian.net/wiki/spaces/doc/pages/348684504/Search+for+resources+and+filter+the+search	https://abiquo.atlassian.net/wiki/spaces/doc/pages/348684504/Search+for+resources+and+filter+the+search	348684504	348684504
Send webhook action in action plans	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369779/Send+webhook+action+in+action+plans	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369779/Send+webhook+action+in+action+plans	311369779	311369779
Server summary report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374822/Server+summary+report	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374822/Server+summary+report	311374822	311374822
Set VM hostname with VMware guest customizations	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373138/Set+VM+hostname+with+VMware+guest+customizations	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373138/Set+VM+hostname+with+VMware+guest+customizations	311373138	311373138
Set resource allocation limits per provider	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372493/Set+resource+allocation+limits+per+provider	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372493/Set+resource+allocation+limits+per+provider	311372493	311372493
Set the guest operating system for VMware	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369512/Set+the+guest+operating+system+for+VMware	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369512/Set+the+guest+operating+system+for+VMware	311369512	311369512
Skip disk size requests for ISO files when retrieving VMs	https://abiquo.atlassian.net/wiki/spaces/doc/pages/341704948/Skip+disk+size+requests+for+ISO+files+when+retrieving+VMs	https://abiquo.atlassian.net/wiki/spaces/doc/pages/341704948/Skip+disk+size+requests+for+ISO+files+when+retrieving+VMs	341704948	341704948
Skip disk size requests for ISO files when retrieving VMs v603	https://abiquo.atlassian.net/wiki/spaces/doc/pages/338296865/Skip+disk+size+requests+for+ISO+files+when+retrieving+VMs+v603	https://abiquo.atlassian.net/wiki/spaces/doc/pages/338296865/Skip+disk+size+requests+for+ISO+files+when+retrieving+VMs+v603	338296865	338296865
Solution evaluation criteria	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372927/Solution+evaluation+criteria	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372927/Solution+evaluation+criteria	311372927	311372927
Standard Abiquo minor or patch version update	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367815/Standard+Abiquo+minor+or+patch+version+update	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367815/Standard+Abiquo+minor+or+patch+version+update	311367815	311367815
Standard Abiquo minor or patch version update HA	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364787/Standard+Abiquo+minor+or+patch+version+update+HA	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364787/Standard+Abiquo+minor+or+patch+version+update+HA	311364787	311364787
Standard Abiquo minor or patch version update Monolithic	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364639/Standard+Abiquo+minor+or+patch+version+update+Monolithic	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364639/Standard+Abiquo+minor+or+patch+version+update+Monolithic	311364639	311364639
Standard Abiquo minor or patch version update distributed	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364622/Standard+Abiquo+minor+or+patch+version+update+distributed	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364622/Standard+Abiquo+minor+or+patch+version+update+distributed	311364622	311364622
Standard Redis database upgrade step	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367798/Standard+Redis+database+upgrade+step	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367798/Standard+Redis+database+upgrade+step	311367798	311367798
Start Abiquo servers and services	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376753/Start+Abiquo+servers+and+services	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376753/Start+Abiquo+servers+and+services	311376753	311376753
Start Abiquo servers and services 5.4.x	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367782/Start+Abiquo+servers+and+services+5.4.x	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367782/Start+Abiquo+servers+and+services+5.4.x	311367782	311367782
Starting Abiquo for the first time	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311370224/Starting+Abiquo+for+the+first+time	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311370224/Starting+Abiquo+for+the+first+time	311370224	311370224
Stop and start HA configuration	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372007/Stop+and+start+HA+configuration	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372007/Stop+and+start+HA+configuration	311372007	311372007
Stop platform services	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373326/Stop+platform+services	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373326/Stop+platform+services	311373326	311373326
Stop platform services for minor upgrade	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369320/Stop+platform+services+for+minor+upgrade	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369320/Stop+platform+services+for+minor+upgrade	311369320	311369320
Storage	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371074/Storage	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371074/Storage	311371074	311371074
Storage servers	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375288/Storage+servers	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375288/Storage+servers	311375288	311375288
Support for Azure Plans	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368464/Support+for+Azure+Plans	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368464/Support+for+Azure+Plans	311368464	311368464
Support for IPv6	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375376/Support+for+IPv6	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375376/Support+for+IPv6	311375376	311375376
Support for SATA disks	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368715/Support+for+SATA+disks	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368715/Support+for+SATA+disks	311368715	311368715
Support for VMware vSphere 7	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369542/Support+for+VMware+vSphere+7	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369542/Support+for+VMware+vSphere+7	311369542	311369542
Support for fenced vApps in vCloud Director	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376188/Support+for+fenced+vApps+in+vCloud+Director	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376188/Support+for+fenced+vApps+in+vCloud+Director	311376188	311376188
Support for more guest operating systems on VMware	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373506/Support+for+more+guest+operating+systems+on+VMware	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373506/Support+for+more+guest+operating+systems+on+VMware	311373506	311373506
